,NOMBRE,CONTROL,TIPO_MONITOREO,COSTO_MATRICULA,ESTADO,INGRESOS_FAMILIARES_M1,INGRESOS_FAMILIARES_H2,Labels_3Clusters
0,Brown College-Brooklyn Center,3,0,15970.0,27,0.112171838,0.028639618,0
1,West Virginia Junior College-Charleston,3,0,12625.0,57,0.1259623544467344,0.04793951204880309,0
2,Kaplan University-Cedar Falls Campus,3,0,15352.0,15,0.1259623544467344,0.04793951204880309,0
3,Lindsey Wilson College,2,0,22070.0,20,0.160187668,0.049597855,0
4,Massachusetts Bay Community College,1,0,4176.0,22,0.15777064504154126,0.09437983713587411,2
5,The Salon Professional Academy-North Little Rock,3,0,14990.0,2,0.153153153,0.135135135,0
6,Marion County Community Technical and Adult Education Center,1,0,1686.0,10,0.132882883,0.0,2
7,Conception Seminary College,2,0,18436.0,28,0.14186649974413781,0.0711596745923386,0
8,Canadian Valley Technology Center,1,0,3171.0,41,0.14,0.0,2
9,Franklin County Career and Technology Center,1,0,12425.0,43,0.140186916,0.09437983713587411,0
10,San Joaquin Valley College-Visalia,3,0,16606.0,5,0.1259623544467344,0.04793951204880309,0
12,Mount Mercy University,2,0,26310.0,15,0.158469945,0.106557377,0
13,Lincoln Technical Institute-Brockton,3,0,15390.0,22,0.128408459,0.023511408,0
14,Spa Tech Institute-Westboro,3,0,8550.0,22,0.142424242,0.065151515,0
15,Ross Medical Education Center-Ann Arbor,3,0,15680.0,26,0.097637093,0.021399911,0
17,North Central Michigan College,1,0,3083.0,26,0.188898094,0.015741508,2
18,Regency Beauty Institute-Winston-Salem,3,0,16200.0,32,0.097959184,0.04793951204880309,0
19,Euphoria Institute of Beauty Arts & Sciences-Las Vegas,3,0,17712.0,38,0.128408459,0.023511408,0
20,University of New Hampshire-Main Campus,1,0,16496.0,35,0.103561047,0.339934593,1
21,Academy of Hair Design-Beaumont,3,0,10300.0,50,0.1259623544467344,0.0,0
22,Bay de Noc Community College,1,0,4243.0,26,0.156398104,0.016587678,2
23,Tidewater Community College,1,0,3788.0,52,0.15777064504154126,0.09437983713587411,2
25,Continental School of Beauty Culture-Mattydale,3,0,11900.0,39,0.112436116,0.01362862,0
26,Wade College,3,0,12695.0,50,0.160194175,0.063106796,0
27,Auguste Escoffier School of Culinary Arts-Boulder,3,0,23982.0,6,0.1259623544467344,0.04793951204880309,0
28,Rabbinical College of Ohr Shimon Yisroel,2,0,10900.0,39,0.14186649974413781,0.0,0
29,Long Island Beauty School-Hempstead,3,0,13200.0,39,0.158974359,0.04793951204880309,0
30,Grayson College,1,0,1632.0,50,0.155588021,0.014609204,2
31,Gordon Cooper Technology Center,1,0,5697.0,41,0.15777064504154126,0.09437983713587411,2
32,Toni & Guy Hairdressing Academy-Shoreline,3,0,16400.0,55,0.139534884,0.04793951204880309,0
33,Manuel and Theresa's School of Hair Design-Victoria,3,0,15400.0,50,0.1259623544467344,0.04793951204880309,0
34,Hair Academy Paul Mitchell Partner School,3,0,13500.0,16,0.163265306,0.04793951204880309,0
35,Institute of Technology Inc,3,0,17634.0,5,0.1259623544467344,0.04793951204880309,0
36,Everest College-Renton,3,0,17646.0,55,0.106544901,0.012557078,0
37,Fort Hays State University,1,0,4358.0,19,0.15777064504154126,0.09437983713587411,2
38,Branford Hall Career Institute-Springfield Campus,3,0,16327.0,22,0.1259623544467344,0.04793951204880309,0
39,Clarkson College,2,0,12880.0,34,0.158536585,0.132113821,0
40,Pepperdine University,2,0,44902.0,5,0.124119718,0.275528169,1
41,Denmark Technical College,1,0,2662.0,47,0.15777064504154126,0.09437983713587411,2
43,Park West Barber School,3,0,15735.0,32,0.064873418,0.0,0
44,Fortis Institute-Miami,3,0,13173.0,10,0.122775801,0.012455516,0
45,Alamance Community College,1,0,2175.0,32,0.15777064504154126,0.09437983713587411,2
46,The Hair Design School-Durham,3,0,15750.0,32,0.101382489,0.021505376,0
48,IVAEM College,3,0,9255.0,44,0.1259623544467344,0.0,0
49,Indian River State College,1,0,2764.0,10,0.166234954,0.011275331,2
50,Marinello School of Beauty-Fresno,3,0,18510.0,5,0.105009634,0.04793951204880309,0
