,NOMBRE,CONTROL,TIPO_MONITOREO,COSTO_MATRICULA,ESTADO,INGRESOS_FAMILIARES_M1,INGRESOS_FAMILIARES_H2,Labels_3Clusters
4,Massachusetts Bay Community College,1,0,4176.0,22,0.15777064504154126,0.09437983713587411,2
6,Marion County Community Technical and Adult Education Center,1,0,1686.0,10,0.132882883,0.0,2
8,Canadian Valley Technology Center,1,0,3171.0,41,0.14,0.0,2
17,North Central Michigan College,1,0,3083.0,26,0.188898094,0.015741508,2
22,Bay de Noc Community College,1,0,4243.0,26,0.156398104,0.016587678,2
23,Tidewater Community College,1,0,3788.0,52,0.15777064504154126,0.09437983713587411,2
30,Grayson College,1,0,1632.0,50,0.155588021,0.014609204,2
31,Gordon Cooper Technology Center,1,0,5697.0,41,0.15777064504154126,0.09437983713587411,2
37,Fort Hays State University,1,0,4358.0,19,0.15777064504154126,0.09437983713587411,2
41,Denmark Technical College,1,0,2662.0,47,0.15777064504154126,0.09437983713587411,2
45,Alamance Community College,1,0,2175.0,32,0.15777064504154126,0.09437983713587411,2
49,Indian River State College,1,0,2764.0,10,0.166234954,0.011275331,2
56,North Country Community College,1,0,4900.0,39,0.154696133,0.04640884,2
61,Community College of Rhode Island,1,0,3950.0,46,0.15777064504154126,0.09437983713587411,2
65,Bakersfield College,1,0,1324.0,5,0.15777064504154126,0.09437983713587411,2
66,Academy of Careers and Technology,1,0,4285.0,57,0.18699187,0.0,2
70,Saint Louis Community College,1,0,2940.0,28,0.15777064504154126,0.09437983713587411,2
71,Bluegrass Community and Technical College,1,0,3516.0,20,0.130831241,0.029866526,2
72,Wabash Valley College,1,0,2954.0,17,0.162740899,0.09437983713587411,2
81,Laredo Community College,1,0,2700.0,50,0.156230234,0.0,2
84,The National Hispanic University,3,0,8196.0,5,0.170588235,0.04793951204880309,2
87,Dakota College at Bottineau,1,0,4029.0,33,0.161434978,0.082959641,2
89,Tennessee College of Applied Technology-Dickson,1,0,3477.0,49,0.163961039,0.0,2
90,University of the Virgin Islands,1,0,4794.0,53,0.15777064504154126,0.09437983713587411,2
92,Columbia College,1,0,1150.0,5,0.145708583,0.0,2
99,Eastern Center for Arts and Technology,1,0,12000.0,43,0.230215827,0.09437983713587411,2
101,Chaffey College,1,0,1153.0,5,0.15777064504154126,0.09437983713587411,2
107,Lake Career and Technical Center,1,0,4500.0,28,0.15777064504154126,0.0,2
108,Skagit Valley College,1,0,4200.0,55,0.171180378,0.019928462,2
109,Francis Marion University,1,0,9386.0,47,0.173731031,0.060701204,2
117,CUNY Queensborough Community College,1,0,4540.0,39,0.15777064504154126,0.09437983713587411,2
122,Northeast Technology Center-Kansas,1,0,3400.0,41,0.207894737,0.0,2
136,Red River Technology Center,1,0,3696.0,41,0.15777064504154126,0.0,2
146,South Florida Bible College and Theological Seminary,2,0,5130.0,10,0.14186649974413781,0.0,2
148,Jackson College,1,0,3504.0,26,0.15777064504154126,0.09437983713587411,2
154,Kirkwood Community College,1,0,4200.0,15,0.15777064504154126,0.09437983713587411,2
157,Capital Area Technical College,1,0,3136.0,21,0.070473876,0.0,2
164,Community College of Vermont,1,0,5668.0,54,0.15777064504154126,0.09437983713587411,2
166,Community College of Philadelphia,1,0,4920.0,43,0.15777064504154126,0.09437983713587411,2
168,Mesa Community College,1,0,1974.0,4,0.15777064504154126,0.09437983713587411,2
171,New Mexico State University-Grants,1,0,1782.0,37,0.168851718,0.030628391,2
183,Kiamichi Technology Center-Poteau,1,0,1881.0,41,0.129899216,0.0,2
185,Moore Norman Technology Center,1,0,1902.0,41,0.118210863,0.0,2
186,Indiana University-Southeast,1,0,6700.0,18,0.173076923,0.07977208,2
187,The University of Texas at San Antonio,1,0,7457.0,50,0.15777064504154126,0.09437983713587411,2
190,Hillsdale Free Will Baptist College,2,0,11600.0,41,0.172932331,0.0711596745923386,2
195,Central Maine Medical Center College of Nursing and Health Professions,2,0,9520.0,24,0.17948718,0.0711596745923386,2
196,Thaddeus Stevens College of Technology,1,0,7230.0,43,0.15777064504154126,0.09437983713587411,2
197,Portland State University,1,0,7878.0,42,0.15777064504154126,0.09437983713587411,2
198,Northern Arizona University,1,0,9738.0,4,0.178433536,0.146810075,2
199,Community College of Denver,1,0,3187.0,6,0.15777064504154126,0.09437983713587411,2
202,Great Bay Community College,1,0,7008.0,35,0.141184573,0.081955923,2
205,Downey Adult School,1,0,2821.0,5,0.150921659,0.09437983713587411,2
209,Rend Lake College,1,0,3232.0,17,0.164860681,0.007739938,2
211,Grand River Technical School,1,0,5515.0,28,0.211538462,0.0,2
220,Blackhawk Technical College,1,0,3842.0,56,0.141466209,0.026918671,2
221,College of Western Idaho,1,0,3264.0,16,0.15777064504154126,0.09437983713587411,2
224,Maranatha Baptist University,2,0,13120.0,56,0.227848101,0.093670886,2
225,Utah Valley University,1,0,5086.0,51,0.15777064504154126,0.09437983713587411,2
228,Muskegon Community College,1,0,3265.0,26,0.15777064504154126,0.09437983713587411,2
230,South Georgia State College,1,0,3626.0,12,0.166040884,0.036712557,2
232,Chesapeake College,1,0,3290.0,23,0.15777064504154126,0.09437983713587411,2
233,North Central Missouri College,1,0,2820.0,28,0.15777064504154126,0.09437983713587411,2
235,Tillamook Bay Community College,1,0,4475.0,42,0.144262295,0.09437983713587411,2
237,Dutchess Community College,1,0,3635.0,39,0.15777064504154126,0.09437983713587411,2
238,Colorado State University-Pueblo,1,0,7327.0,6,0.15777064504154126,0.09437983713587411,2
241,Walters State Community College,1,0,3615.0,49,0.194784289,0.003541533,2
245,United Beauty College,3,0,3443.0,6,0.1259623544467344,0.0,2
247,University of North Alabama,1,0,7078.0,1,0.177777778,0.090123457,2
254,Lakeland Community College,1,0,3217.0,40,0.144554012,0.022635589,2
258,Central Lakes College-Staples Campus,1,0,5393.0,27,0.168818272,0.041211519,2
266,Northland Pioneer College,1,0,1606.0,4,0.177334732,0.0,2
275,Knox Beauty College,3,0,4990.0,18,0.1259623544467344,0.0,2
278,Lake Technical Center,1,0,4441.0,10,0.177985949,0.0,2
281,Carlos Albizu University-Miami,2,0,12048.0,10,0.181818182,0.0711596745923386,2
285,Arkansas State University-Mountain Home,1,0,2592.0,2,0.185552655,0.049956484,2
291,Simmons College of Kentucky,2,0,4620.0,20,0.14186649974413781,0.0,2
299,Temple College,1,0,2160.0,50,0.150227212,0.019513499,2
303,Bridgemont Community and Technical College,1,0,4010.0,57,0.151241535,0.029345373,2
308,Global Health College,3,0,20082.0,52,0.214285714,0.04,2
316,Wes Watkins Technology Center,1,0,4696.0,41,0.15777064504154126,0.0,2
318,Tompkins Cortland Community College,1,0,5085.0,39,0.15777064504154126,0.09437983713587411,2
319,New College of Florida,1,0,6866.0,10,0.190661479,0.182879377,2
337,Independence Community College,1,0,2576.0,19,0.213973799,0.050946143,2
338,Tennessee College of Applied Technology-Oneida-Huntsville,1,0,3477.0,49,0.130769231,0.0,2
342,Santiago Canyon College,1,0,1142.0,5,0.201328564,0.007153807,2
356,Casper College,1,0,2448.0,58,0.159670782,0.055967078,2
358,Sikeston Career and Technology Center,1,0,7810.0,28,0.15777064504154126,0.09437983713587411,2
360,Northwest Kansas Technical College,1,0,12423.0,19,0.193979933,0.09437983713587411,2
361,Palomar College,1,0,1328.0,5,0.15777064504154126,0.09437983713587411,2
365,Schilling-Douglas School of Hair Design,3,0,13750.0,9,0.218085106,0.085106383,2
367,Ivy Tech Community College-Northeast,1,0,3605.0,18,0.138444414,0.018811743,2
371,Lane Community College,1,0,3776.0,42,0.15777064504154126,0.09437983713587411,2
